lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.0004,2022-12-07 20:18:12.310190,,,,,,,,,,,,,,
,2022-12-07 20:18:13.300807,0.04183170944452286,0.00016448281530756503,0.04183170944452286,49.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:19:01.520905,,,,,,,,,,,,,,
,2022-12-07 20:19:02.509581,0.383292019367218,0.023950817063450813,0.383292019367218,99.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:19:51.107153,,,,,,,,,,,,,,
,2022-12-07 20:19:52.098192,0.458116739988327,0.0034249350428581238,0.458116739988327,149.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:20:40.478023,,,,,,,,,,,,,,
,2022-12-07 20:20:41.465595,0.14414338767528534,0.0009852662915363908,0.14414338767528534,199.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:21:29.882998,,,,,,,,,,,,,,
,2022-12-07 20:21:30.864572,0.07158990949392319,0.00025372905656695366,0.07158990949392319,249.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:22:19.279109,,,,,,,,,,,,,,
,2022-12-07 20:22:20.263477,0.22403520345687866,0.0013838681625202298,0.22403520345687866,299.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:23:08.703782,,,,,,,,,,,,,,
,2022-12-07 20:23:09.688429,0.22496739029884338,0.0013749361969530582,0.22496739029884338,349.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:23:58.055795,,,,,,,,,,,,,,
,2022-12-07 20:23:59.035607,0.26375457644462585,0.0019994366448372602,0.26375457644462585,399.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:24:47.501611,,,,,,,,,,,,,,
,2022-12-07 20:24:48.488730,0.12421361356973648,0.0004420583136379719,0.12421361356973648,449.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:25:37.053003,,,,,,,,,,,,,,
,2022-12-07 20:25:38.733467,0.09324150532484055,0.0003530310350470245,0.09324150532484055,499.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:28:54.625773,,,,,,,,,,,,,,
,2022-12-07 20:28:55.610078,0.07213764637708664,0.0002879133098758757,0.07213764637708664,549.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:29:44.098841,,,,,,,,,,,,,,
,2022-12-07 20:29:45.087220,0.033476442098617554,0.00013677295646630228,0.033476442098617554,599.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:30:33.624214,,,,,,,,,,,,,,
,2022-12-07 20:30:34.613751,0.0914793610572815,0.00031702674459666014,0.0914793610572815,649.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:31:23.053056,,,,,,,,,,,,,,
,2022-12-07 20:31:24.036848,0.08318226784467697,0.00028569705318659544,0.08318226784467697,699.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:32:12.462517,,,,,,,,,,,,,,
,2022-12-07 20:32:13.451454,0.17968054115772247,0.0006082553882151842,0.17968054115772247,749.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:33:01.854566,,,,,,,,,,,,,,
,2022-12-07 20:33:02.841165,0.2152862548828125,0.0008909761090762913,0.2152862548828125,799.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:33:51.311627,,,,,,,,,,,,,,
,2022-12-07 20:33:52.302467,0.28974127769470215,0.0016135137993842363,0.28974127769470215,849.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:34:40.799143,,,,,,,,,,,,,,
,2022-12-07 20:34:41.786908,0.17553585767745972,0.0007623923011124134,0.17553585767745972,899.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:35:30.329671,,,,,,,,,,,,,,
,2022-12-07 20:35:31.318805,0.29274022579193115,0.010897728614509106,0.29274022579193115,949.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:36:19.842977,,,,,,,,,,,,,,
